"Species","Sites Detected"
"Black-tailed Wallaby",214
"Eastern Grey Kangaroo",129
"Sambar Deer",104
"Bare-nosed Wombat",91
"Red Fox",90
"Common Brush-tailed Possum",80
"Emu",46
"Dingo",38
"Superb Lyrebird",38
"Pied Currawong",36
"Laughing Kookaburra",35
"Short-beaked Echidna",32
"Domestic Cat (feral)",30
"Fallow Deer",30
"Red-necked Wallaby",25
"Ravens and Crows",24
"Hog Deer",22
"Grey Currawong",19
"Australian Magpie",18
"Southern Long-nosed Bandicoot",17
"Western Grey Kangaroo",17
"Long-footed Potoroo",16
"Rabbits and Hares",16
"European Rabbit",15
"Red Deer",12
"Red Wattlebird",11
"Eastern Ring-tailed Possum",9
"Koala",9
"White-winged Chough",9
"Wonga Pigeon",9
"Grey Shrike-thrush",8
"Lace Monitor",8
"Crimson Rosella",6
"Goat (feral)",6
"Australian Raven",5
"Bassian Thrush",3
"Bush Rat",3
"Common Blackbird",3
"Horse (feral)",3
"Leadbeater's Possum",3
"Magpie-lark",3
"Mountain Brush-tailed Possum",3
"Pacific Black Duck",3
"Satin Bowerbird",3
"Australian Wood Duck",2
"Black Rat",2
"Eastern Whipbird",2
"Flame Robin",2
"Long-nosed Potoroo",2
"Pig (feral)",2
"White-browed Scrubwren",2
"White-eared Honeyeater",2
"Yellow-tailed Black-Cockatoo",2
"Antechinus",1
"Australian Owlet-nightjar",1
"Black Swan",1
"Black-faced Cuckoo-shrike",1
"Brush Bronzewing",1
"Brushtail Possums",1
"Cattle (feral)",1
"Chestnut Teal",1
"Dingo & Dog (feral)",1
"Eastern Rosella",1
"Eastern Yellow Robin",1
"Galah",1
"Grey Butcherbird",1
"Grey Fantail",1
"Morepork",1
"Red Kangaroo",1
"Rufous Fantail",1
"Stubble Quail",1
"Sulphur-crested Cockatoo",1
"White-faced Heron",1
