"State","Species","Title","Author","Study Sites","Year Start","Year End","Density Mean","Density LB","Density UB"
"NSW","Fallow","Estimating deer density and abundance using spatial mark–resight models with camera trap data","Bengsen, A. J., Forsyth, D. M., Ramsey, D. S. L., Amos, M., Brennan, M., Pople, A. R., Comte, S., & Crittle, T","Montane Woodland/Fores in Kosciuszko NP",2017,2019,0.29,0.12,0.53
"NSW","Sambar","Estimating deer density and abundance using spatial mark–resight models with camera trap data","Bengsen, A. J., Forsyth, D. M., Ramsey, D. S. L., Amos, M., Brennan, M., Pople, A. R., Comte, S., & Crittle, T","Montane Forest in Kosciuszko NP",2017,2019,0.73,0.33,1.35
"NSW","Sambar","Estimating deer density and abundance using spatial mark–resight models with camera trap data","Bengsen, A. J., Forsyth, D. M., Ramsey, D. S. L., Amos, M., Brennan, M., Pople, A. R., Comte, S., & Crittle, T","Montane Woodland/Fores in Kosciuszko NP",2017,2019,2.49,1.67,3.5
"NSW","Sambar","Estimating deer density and abundance using spatial mark–resight models with camera trap data","Bengsen, A. J., Forsyth, D. M., Ramsey, D. S. L., Amos, M., Brennan, M., Pople, A. R., Comte, S., & Crittle, T","Wetland Reserve",2017,2019,0.48,0.24,0.84
"QLD","Red","I just want to count them! Considerations when choosing a deer population monitoring method","Amos, M., G. Baxter, N. Finch, A. Lisle, and P. Murray","Cressbrook Dam catchment",2010,2012,45.75,39.8,51.7
"QLD","Red","I just want to count them! Considerations when choosing a deer population monitoring method","Amos, M., G. Baxter, N. Finch, A. Lisle, and P. Murray","Cressbrook Dam catchment",2010,2012,26.5,23.7,29.3
"QLD","Red","I just want to count them! Considerations when choosing a deer population monitoring method","Amos, M., G. Baxter, N. Finch, A. Lisle, and P. Murray","Cressbrook Dam catchment",2011,2011,26.26,12.92,53.3
"QLD","Rusa","Estimating deer density and abundance using spatial mark–resight models with camera trap data","Bengsen, A. J., Forsyth, D. M., Ramsey, D. S. L., Amos, M., Brennan, M., Pople, A. R., Comte, S., & Crittle, T","Central Coastal QLD Woodland",2017,2019,10.34,7.84,13.32
"QLD","Rusa","Estimating deer density and abundance using spatial mark–resight models with camera trap data","Bengsen, A. J., Forsyth, D. M., Ramsey, D. S. L., Amos, M., Brennan, M., Pople, A. R., Comte, S., & Crittle, T","Central Coastal QLD Woodland",2017,2019,0.68,0.21,1.77
"QLD","Rusa","Estimating deer density and abundance using spatial mark–resight models with camera trap data","Bengsen, A. J., Forsyth, D. M., Ramsey, D. S. L., Amos, M., Brennan, M., Pople, A. R., Comte, S., & Crittle, T","Samsonvale Resivoir",2017,2019,3.11,1.76,5.07
"TAS","Fallow","Report of state-wide census of wild fallow deer in Tasmania project: Part A: Baseline aerial survey of fallow deer population, central and north-eastern Tasmania.","Lethbridge, M. R., Stead, M. G., & Wells, C.","Northern Midlands",2019,2019,2.7,1.67,3.71
"VIC","Fallow","Estimating deer density and abundance using spatial mark–resight models with camera trap data","Bengsen, A. J., Forsyth, D. M., Ramsey, D. S. L., Amos, M., Brennan, M., Pople, A. R., Comte, S., & Crittle, T","Cardinia Resivoir Woodland",2017,2019,2.09,1.46,2.92
"VIC","Hog","The influence of evolutionary history and body size on partitioning of habitat resources by mammalian herbivores in south-eastern Australia","Davis, N. E., Gordon, I. R., & Coulson, G","Yanicke",2003,2004,3.01,1.73,4.29
"VIC","Red","Estimating deer density and abundance using spatial mark–resight models with camera trap data","Bengsen, A. J., Forsyth, D. M., Ramsey, D. S. L., Amos, M., Brennan, M., Pople, A. R., Comte, S., & Crittle, T","Sugarloaf Resivoir Woodland",2017,2019,24.57,19.79,30.64
"VIC","Red","Estimating deer density and abundance using spatial mark–resight models with camera trap data","Bengsen, A. J., Forsyth, D. M., Ramsey, D. S. L., Amos, M., Brennan, M., Pople, A. R., Comte, S., & Crittle, T","Yan Yean Woodland",2017,2019,19.76,17.58,22.17
"VIC","Sambar","BBRR Feral Pig Survey Project Delicknora 2023","Durand M., and Tame, A.","Delicknora",NA,NA,1.7,1.7,1.7
"VIC","Sambar","BBRR Feral Pig Survey Project Wulgulmerang 2022","Durand M., and Tame, A.","Wulgulmerang",2022,2022,3.29,3.29,3.29
"VIC","Sambar","BBRR Feral Pig Survey Project Wulgulmerang 2023","Durand M., and Tame, A.","Wulgulmerang",NA,NA,6.4,6.4,6.4
"VIC","Sambar","Estimating deer density and abundance using spatial mark–resight models with camera trap data","Bengsen, A. J., Forsyth, D. M., Ramsey, D. S. L., Amos, M., Brennan, M., Pople, A. R., Comte, S., & Crittle, T","Cardinia Resivoir Woodland",2017,2019,11.94,8.44,16.48
"VIC","Sambar","Estimating deer density and abundance using spatial mark–resight models with camera trap data","Bengsen, A. J., Forsyth, D. M., Ramsey, D. S. L., Amos, M., Brennan, M., Pople, A. R., Comte, S., & Crittle, T","Yan Yean Woodland",2017,2019,3.93,2.53,6.29
"VIC","Sambar","The application of catch–effort models to estimate the efficacy of aerial shooting operations on sambar deer","Ramsey David S. L., McMaster Damien, Thomas Elaine","Alpine NP - Bogong",2020,2022,0.89,0.7,1.1
"VIC","Sambar","The application of catch–effort models to estimate the efficacy of aerial shooting operations on sambar deer","Ramsey David S. L., McMaster Damien, Thomas Elaine","Alpine NP - Eastern Alps",2020,2022,1.4,1.08,1.76
"VIC","Sambar","The application of catch–effort models to estimate the efficacy of aerial shooting operations on sambar deer","Ramsey David S. L., McMaster Damien, Thomas Elaine","Burrowa-Pine",2020,2022,0.4,0.27,0.56
"VIC","Sambar","The application of catch–effort models to estimate the efficacy of aerial shooting operations on sambar deer","Ramsey David S. L., McMaster Damien, Thomas Elaine","Coopracambra",2020,2022,1.12,0.04,0.2
"VIC","Sambar","The application of catch–effort models to estimate the efficacy of aerial shooting operations on sambar deer","Ramsey David S. L., McMaster Damien, Thomas Elaine","Croajingolong NP",2020,2022,0.61,0.44,0.81
"VIC","Sambar","The application of catch–effort models to estimate the efficacy of aerial shooting operations on sambar deer","Ramsey David S. L., McMaster Damien, Thomas Elaine","Errinundra NP",2020,2022,0.8,0.58,1.05
"VIC","Sambar","The application of catch–effort models to estimate the efficacy of aerial shooting operations on sambar deer","Ramsey David S. L., McMaster Damien, Thomas Elaine","Mount Mitta Mitta RP",2020,2022,0.3,0.14,0.49
"VIC","Sambar","The application of catch–effort models to estimate the efficacy of aerial shooting operations on sambar deer","Ramsey David S. L., McMaster Damien, Thomas Elaine","Mt Buffalo NP",2020,2022,0.78,0.64,0.94
"VIC","Sambar","The application of catch–effort models to estimate the efficacy of aerial shooting operations on sambar deer","Ramsey David S. L., McMaster Damien, Thomas Elaine","Snowy River NP",2020,2022,1.08,0.86,1.28
"VIC","Sambar","The application of catch–effort models to estimate the efficacy of aerial shooting operations on sambar deer","Ramsey David S. L., McMaster Damien, Thomas Elaine","Wabba WP",2020,2022,1.3,1.02,1.6
"VIC","Sambar","The role of wild deer in the transmission of diseases of livestock","Pacioni, Ramsey et al","Gembrook",2018,2020,5.9,5.7,6.1
"VIC","Sambar","The role of wild deer in the transmission of diseases of livestock","Pacioni, Ramsey et al","Kinglake",2018,2020,6.8,3.7,10.9
"VIC","Sambar","The role of wild deer in the transmission of diseases of livestock","Pacioni, Ramsey et al","Willow Grove",2018,2020,6.2,5.9,6.5
